epoch: 0, Seg_Loss: 0.482, Overall_Acc: 0.949, Mean_IOU: 0.502, Class_0: 0.974, Class_1: 0.101 
epoch: 1, Seg_Loss: 0.421, Overall_Acc: 0.994, Mean_IOU: 0.551, Class_0: 0.997, Class_1: 0.182 
epoch: 2, Seg_Loss: 0.496, Overall_Acc: 0.996, Mean_IOU: 0.499, Class_0: 0.998, Class_1: 0.002 
epoch: 3, Seg_Loss: 0.417, Overall_Acc: 0.996, Mean_IOU: 0.548, Class_0: 0.998, Class_1: 0.169 
epoch: 4, Seg_Loss: 0.318, Overall_Acc: 0.994, Mean_IOU: 0.614, Class_0: 0.997, Class_1: 0.381 
epoch: 5, Seg_Loss: 0.354, Overall_Acc: 0.996, Mean_IOU: 0.597, Class_0: 0.998, Class_1: 0.298 
epoch: 6, Seg_Loss: 0.331, Overall_Acc: 0.996, Mean_IOU: 0.609, Class_0: 0.998, Class_1: 0.348 
epoch: 7, Seg_Loss: 0.381, Overall_Acc: 0.997, Mean_IOU: 0.573, Class_0: 0.998, Class_1: 0.239 
epoch: 8, Seg_Loss: 0.344, Overall_Acc: 0.996, Mean_IOU: 0.595, Class_0: 0.998, Class_1: 0.317 
epoch: 9, Seg_Loss: 0.398, Overall_Acc: 0.997, Mean_IOU: 0.563, Class_0: 0.998, Class_1: 0.202 
epoch: 10, Seg_Loss: 0.253, Overall_Acc: 0.996, Mean_IOU: 0.679, Class_0: 0.998, Class_1: 0.504 
epoch: 11, Seg_Loss: 0.283, Overall_Acc: 0.997, Mean_IOU: 0.652, Class_0: 0.998, Class_1: 0.439 
epoch: 12, Seg_Loss: 0.258, Overall_Acc: 0.996, Mean_IOU: 0.668, Class_0: 0.998, Class_1: 0.495 
epoch: 13, Seg_Loss: 0.280, Overall_Acc: 0.997, Mean_IOU: 0.648, Class_0: 0.998, Class_1: 0.443 
epoch: 14, Seg_Loss: 0.367, Overall_Acc: 0.997, Mean_IOU: 0.585, Class_0: 0.998, Class_1: 0.264 
epoch: 15, Seg_Loss: 0.229, Overall_Acc: 0.997, Mean_IOU: 0.700, Class_0: 0.998, Class_1: 0.549 
epoch: 16, Seg_Loss: 0.263, Overall_Acc: 0.997, Mean_IOU: 0.668, Class_0: 0.998, Class_1: 0.479 
epoch: 17, Seg_Loss: 0.342, Overall_Acc: 0.997, Mean_IOU: 0.602, Class_0: 0.998, Class_1: 0.316 
epoch: 18, Seg_Loss: 0.248, Overall_Acc: 0.996, Mean_IOU: 0.674, Class_0: 0.998, Class_1: 0.512 
epoch: 19, Seg_Loss: 0.370, Overall_Acc: 0.997, Mean_IOU: 0.585, Class_0: 0.998, Class_1: 0.260 
epoch: 20, Seg_Loss: 0.238, Overall_Acc: 0.995, Mean_IOU: 0.679, Class_0: 0.997, Class_1: 0.531 
epoch: 21, Seg_Loss: 0.226, Overall_Acc: 0.997, Mean_IOU: 0.699, Class_0: 0.999, Class_1: 0.550 
