epoch: 47, Seg_Loss: 0.208, Overall_Acc: 0.997, Mean_IOU: 0.714, Class_0: 0.998, Class_1: 0.592 
epoch: 48, Seg_Loss: 0.267, Overall_Acc: 0.997, Mean_IOU: 0.667, Class_0: 0.999, Class_1: 0.472 
epoch: 49, Seg_Loss: 0.206, Overall_Acc: 0.997, Mean_IOU: 0.715, Class_0: 0.998, Class_1: 0.598 
epoch: 50, Seg_Loss: 0.214, Overall_Acc: 0.997, Mean_IOU: 0.707, Class_0: 0.998, Class_1: 0.581 
epoch: 51, Seg_Loss: 0.212, Overall_Acc: 0.997, Mean_IOU: 0.708, Class_0: 0.998, Class_1: 0.585 
epoch: 52, Seg_Loss: 0.228, Overall_Acc: 0.997, Mean_IOU: 0.698, Class_0: 0.999, Class_1: 0.553 
epoch: 53, Seg_Loss: 0.218, Overall_Acc: 0.997, Mean_IOU: 0.703, Class_0: 0.998, Class_1: 0.573 
epoch: 54, Seg_Loss: 0.246, Overall_Acc: 0.995, Mean_IOU: 0.676, Class_0: 0.998, Class_1: 0.518 
epoch: 55, Seg_Loss: 0.203, Overall_Acc: 0.997, Mean_IOU: 0.721, Class_0: 0.999, Class_1: 0.600 
epoch: 56, Seg_Loss: 0.212, Overall_Acc: 0.997, Mean_IOU: 0.713, Class_0: 0.999, Class_1: 0.583 
epoch: 57, Seg_Loss: 0.199, Overall_Acc: 0.997, Mean_IOU: 0.724, Class_0: 0.999, Class_1: 0.612 
epoch: 58, Seg_Loss: 0.244, Overall_Acc: 0.997, Mean_IOU: 0.685, Class_0: 0.999, Class_1: 0.517 
epoch: 59, Seg_Loss: 0.190, Overall_Acc: 0.997, Mean_IOU: 0.734, Class_0: 0.999, Class_1: 0.626 
epoch: 60, Seg_Loss: 0.187, Overall_Acc: 0.997, Mean_IOU: 0.736, Class_0: 0.999, Class_1: 0.634 
epoch: 61, Seg_Loss: 0.224, Overall_Acc: 0.996, Mean_IOU: 0.696, Class_0: 0.998, Class_1: 0.561 
epoch: 62, Seg_Loss: 0.308, Overall_Acc: 0.991, Mean_IOU: 0.616, Class_0: 0.995, Class_1: 0.396 
epoch: 63, Seg_Loss: 0.236, Overall_Acc: 0.995, Mean_IOU: 0.683, Class_0: 0.998, Class_1: 0.538 
epoch: 64, Seg_Loss: 0.187, Overall_Acc: 0.997, Mean_IOU: 0.737, Class_0: 0.999, Class_1: 0.633 
epoch: 65, Seg_Loss: 0.190, Overall_Acc: 0.997, Mean_IOU: 0.733, Class_0: 0.999, Class_1: 0.626 
epoch: 66, Seg_Loss: 0.225, Overall_Acc: 0.998, Mean_IOU: 0.701, Class_0: 0.999, Class_1: 0.552 
epoch: 67, Seg_Loss: 0.195, Overall_Acc: 0.997, Mean_IOU: 0.729, Class_0: 0.999, Class_1: 0.616 
epoch: 68, Seg_Loss: 0.207, Overall_Acc: 0.997, Mean_IOU: 0.718, Class_0: 0.999, Class_1: 0.592 
epoch: 69, Seg_Loss: 0.197, Overall_Acc: 0.997, Mean_IOU: 0.723, Class_0: 0.998, Class_1: 0.613 
epoch: 70, Seg_Loss: 0.195, Overall_Acc: 0.997, Mean_IOU: 0.727, Class_0: 0.998, Class_1: 0.618 
epoch: 71, Seg_Loss: 0.192, Overall_Acc: 0.998, Mean_IOU: 0.734, Class_0: 0.999, Class_1: 0.620 
epoch: 72, Seg_Loss: 0.185, Overall_Acc: 0.997, Mean_IOU: 0.738, Class_0: 0.999, Class_1: 0.637 
epoch: 73, Seg_Loss: 0.198, Overall_Acc: 0.998, Mean_IOU: 0.728, Class_0: 0.999, Class_1: 0.609 
epoch: 74, Seg_Loss: 0.196, Overall_Acc: 0.998, Mean_IOU: 0.727, Class_0: 0.999, Class_1: 0.613 
epoch: 75, Seg_Loss: 0.179, Overall_Acc: 0.997, Mean_IOU: 0.744, Class_0: 0.999, Class_1: 0.648 
epoch: 76, Seg_Loss: 0.180, Overall_Acc: 0.997, Mean_IOU: 0.743, Class_0: 0.999, Class_1: 0.646 
epoch: 77, Seg_Loss: 0.179, Overall_Acc: 0.997, Mean_IOU: 0.745, Class_0: 0.999, Class_1: 0.649 
epoch: 78, Seg_Loss: 0.174, Overall_Acc: 0.997, Mean_IOU: 0.750, Class_0: 0.999, Class_1: 0.659 
epoch: 79, Seg_Loss: 0.200, Overall_Acc: 0.998, Mean_IOU: 0.724, Class_0: 0.999, Class_1: 0.604 
epoch: 80, Seg_Loss: 0.189, Overall_Acc: 0.997, Mean_IOU: 0.733, Class_0: 0.999, Class_1: 0.630 
epoch: 81, Seg_Loss: 0.189, Overall_Acc: 0.998, Mean_IOU: 0.735, Class_0: 0.999, Class_1: 0.628 
epoch: 82, Seg_Loss: 0.188, Overall_Acc: 0.997, Mean_IOU: 0.732, Class_0: 0.998, Class_1: 0.631 
epoch: 83, Seg_Loss: 0.176, Overall_Acc: 0.998, Mean_IOU: 0.747, Class_0: 0.999, Class_1: 0.653 
epoch: 84, Seg_Loss: 0.180, Overall_Acc: 0.998, Mean_IOU: 0.745, Class_0: 0.999, Class_1: 0.646 
epoch: 85, Seg_Loss: 0.175, Overall_Acc: 0.998, Mean_IOU: 0.748, Class_0: 0.999, Class_1: 0.655 
epoch: 86, Seg_Loss: 0.182, Overall_Acc: 0.997, Mean_IOU: 0.739, Class_0: 0.998, Class_1: 0.644 
epoch: 87, Seg_Loss: 0.172, Overall_Acc: 0.998, Mean_IOU: 0.753, Class_0: 0.999, Class_1: 0.661 
epoch: 88, Seg_Loss: 0.176, Overall_Acc: 0.998, Mean_IOU: 0.748, Class_0: 0.999, Class_1: 0.654 
epoch: 89, Seg_Loss: 0.189, Overall_Acc: 0.997, Mean_IOU: 0.734, Class_0: 0.999, Class_1: 0.629 
epoch: 90, Seg_Loss: 0.172, Overall_Acc: 0.998, Mean_IOU: 0.754, Class_0: 0.999, Class_1: 0.661 
epoch: 91, Seg_Loss: 0.184, Overall_Acc: 0.998, Mean_IOU: 0.740, Class_0: 0.999, Class_1: 0.637 
epoch: 92, Seg_Loss: 0.196, Overall_Acc: 0.997, Mean_IOU: 0.726, Class_0: 0.999, Class_1: 0.615 
epoch: 93, Seg_Loss: 0.196, Overall_Acc: 0.998, Mean_IOU: 0.729, Class_0: 0.999, Class_1: 0.612 
epoch: 94, Seg_Loss: 0.185, Overall_Acc: 0.998, Mean_IOU: 0.741, Class_0: 0.999, Class_1: 0.633 
epoch: 95, Seg_Loss: 0.187, Overall_Acc: 0.998, Mean_IOU: 0.738, Class_0: 0.999, Class_1: 0.631 
epoch: 96, Seg_Loss: 0.167, Overall_Acc: 0.997, Mean_IOU: 0.756, Class_0: 0.999, Class_1: 0.672 
epoch: 97, Seg_Loss: 0.174, Overall_Acc: 0.997, Mean_IOU: 0.748, Class_0: 0.999, Class_1: 0.658 
